id,Title,Trailer_Link,Image_Poster_Link,Description,Rating,Genre
0,World War Z,youtube.com/watch?v=Md6Dvxdr0AQ,https://media-cache.cinematerial.com/p/500x/mohamjxt/world-war-z-movie-poster.jpg,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,PG-13,"[Action, Drama, Horror, Science Fiction, Thriller]"
1,Easy A,https://www.youtube.com/watch?v=KNbPnqyvItk,https://media-cache.cinematerial.com/p/500x/k7rby6j3/easy-a-theatrical-movie-poster.jpg?v=1477357244,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,PG-13,[Comedy]
2,Your Place or Mine,https://www.youtube.com/watch?v=5JyfgkPMXk0,https://cdn.cinematerial.com/p/297x/bgbdgs05/your-place-or-mine-movie-poster-md.jpg?v=1673543647,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.,PG-13,"[Comedy, Romance]"
3,Top Gun,https://www.youtube.com/watch?v=xa_z57UatDY,https://media-cache.cinematerial.com/p/500x/jjlm3tyx/top-gun-movie-poster.jpg?v=1456255178,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",PG,"[Action, Drama]"
4,Glass Onion: A Knives Out Mystery,https://www.youtube.com/watch?v=gj5ibYSz8C0,https://media-cache.cinematerial.com/p/500x/wkqypeqj/glass-onion-a-knives-out-mystery-movie-poster.jpg?v=1666936503,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,PG-13,"[Comedy, Crime, Mystery]"
5,Hush,https://www.youtube.com/watch?v=Q_P8WCbhC6s,https://cdn.cinematerial.com/p/297x/hrefj4ah/hush-movie-poster-md.jpg?v=1460155824,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,R,"[Horror, Thriller]"
6,Monty Python and the Holy Grail,https://www.youtube.com/watch?v=urRkGvhXc8w,https://media-cache.cinematerial.com/p/500x/bhwprl3j/monty-python-and-the-holy-grail-movie-poster.jpg?v=1456364369,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",PG,"[Adventure, Comedy, Fantasy]"
7,Rango,https://www.youtube.com/watch?v=_gQys92pTqM,https://media-cache.cinematerial.com/p/500x/ghtdp3dq/rango-movie-poster.jpg?v=1456768135,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",PG,"[Animation, Action, Adventure]"
8,The Dark Knight,https://www.youtube.com/watch?v=EXeTwQWrcwY,https://media-cache.cinematerial.com/p/500x/udapnxr3/the-dark-knight-movie-poster.jpg?v=1456051180,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",PG-13,"[Action, Crime, Drama]"
9,Forrest Gump,https://www.youtube.com/watch?v=bLvqoHBptjg,https://media-cache.cinematerial.com/p/500x/hncfztv7/forrest-gump-movie-poster.jpg?v=1602182137,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",PG-13,"[Drama, Romance]"
10,Inception,https://www.youtube.com/watch?v=YoHD9XEInc0,https://cdn.cinematerial.com/p/136x/7uwb4va7/inception-movie-poster-sm.jpg?v=1456797089,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",PG-13,"[Action, Adventure, Sci-Fi]"
11,Interstellar,https://www.youtube.com/watch?v=2LqzF5WauAw,https://media-cache.cinematerial.com/p/500x/ctpnz4mq/interstellar-movie-poster.jpg?v=1456424450,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,PG-13,"[Adventure, Drama, Sci-Fi]"
12,Django Unchained,https://www.youtube.com/watch?v=0fUCuvNlOCg,https://media-cache.cinematerial.com/p/500x/hj2oda1x/django-unchained-theatrical-movie-poster.jpg?v=1456571485,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",R,"[Drama, Western]"
13,Spider-Man: Into the Spider-Verse,https://www.youtube.com/watch?v=g4Hbz2jLxvQ,https://media-cache.cinematerial.com/p/500x/vgemd7c2/spider-man-into-the-spider-verse-movie-poster.jpg?v=1538489576,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",PG,"[Animation, Action, Adventure]"
14,Joker,https://www.youtube.com/watch?v=zAGVQLHvwOY,https://cdn.cinematerial.com/p/136x/u9juzjtv/joker-movie-poster-sm.jpg?v=1567014206,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.",R,"[Crime, Drama, Thriller]"
15,Hamilton,https://www.youtube.com/watch?v=DSCKfXpAGHc,https://media-cache.cinematerial.com/p/500x/zgk8sanv/hamilton-movie-poster.jpg?v=1589303180,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",PG-13,"[Biography, Drama, History]"
16,The Shawshank Redemption,,,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",R,[Drama]
17,The Godfather,,,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,R,"[Crime, Drama]"
18,Schindler's List,,,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",R,"[Biography, Drama, History]"
19,The Lord of the Rings: The Return of the King,,,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,PG-13,"[Action, Adventure, Drama]"
20,12 Angry Men,,,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Approved,"[Crime, Drama]"
21,The Godfather Part II,,,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",R,"[Crime, Drama]"
22,Pulp Fiction,,,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",R,"[Crime, Drama]"
23,Inception,,,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",PG-13,"[Action, Adventure, Sci-Fi]"
24,The Lord of the Rings: The Fellowship of the Ring,,,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,PG-13,"[Action, Adventure, Drama]"
25,Fight Club,,,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,R,[Drama]
26,Forrest Gump,,,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",PG-13,"[Drama, Romance]"
27,The Lord of the Rings: The Two Towers,,,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",PG-13,"[Action, Adventure, Drama]"
28,"The Good, the Bad and the Ugly",,,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Approved,"[Adventure, Western]"
29,The Matrix,,,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",R,"[Action, Sci-Fi]"
30,Goodfellas,,,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",R,"[Biography, Crime, Drama]"
31,One Flew Over the Cuckoo's Nest,,,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",R,[Drama]
32,Star Wars: Episode V - The Empire Strikes Back,,,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",PG,"[Action, Adventure, Fantasy, Sci-Fi]"
33,Se7en,,,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",R,"[Crime, Drama, Mystery]"
34,The Silence of the Lambs,,,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",R,"[Crime, Drama, Thriller]"
35,Star Wars: Episode IV - A New Hope,,,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",PG,"[Action, Adventure, Fantasy, Sci-Fi]"
36,Terminator 2: Judgment Day,,,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.",R,"[Action, Sci-Fi]"
37,The Green Mile,,,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",R,"[Crime, Drama, Fantasy]"
38,Spirited Away,,,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",PG,"[Animation, Adventure, Family]"
39,Saving Private Ryan,,,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",R,"[Drama, War]"
40,Star Wars: Episode I - The Phantom Menace,,,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",PG,"[Action, Adventure, Fantasy, Sci-Fi]"
41,Star Wars: Episode II - Attack of the Clones,,,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.",PG,"[Action, Adventure, Fantasy, Sci-Fi]"
42,Star Wars: Episode III - Revenge of the Sith,,,"Three years into the Clone Wars, Obi-Wan pursues a new threat, while Anakin is lured by Chancellor Palpatine into a sinister plot to rule the galaxy.",PG-13,"[Action, Adventure, Fantasy, Sci-Fi]"
43,Star Wars: Episode VI - Return of the Jedi,,,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",PG,"[Action, Adventure, Fantasy, Sci-Fi]"
44,Star Wars: Episode VII - The Force Awakens,,,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",PG-13,"[Action, Adventure, Fantasy, Sci-Fi]"
45,Star Wars: Episode VIII - The Last Jedi,,,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",PG-13,"[Action, Adventure, Fantasy, Sci-Fi]"
46,Star Wars: Episode IX - The Rise of Skywalker,,,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",PG-13,"[Action, Adventure, Fantasy, Sci-Fi]"
47,It's a Wonderful Life,,,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,PG,"[Drama, Family, Fantasy]"
48,Gladiator,,,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,R,"[Action, Adventure, Drama]"
49,Howl's Moving Castle,,,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",PG,"[Animation, Adventure, Family]"
50,My Neighbor Totoro,,,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",G,"[Animation, Comedy, Family]"